"","1","ItemNo"
"1","199","3626pb3739"
"2","135","3626pb3728"
"3","148","3626pb3730"
"4","180","3626pb3740"
"5","155","3626pb3745"
"6","175","3626pb3720"
"7","192","3626pb3722"
"8","1004","3626pb3280"
"9","179","3626pb3744"
"10","780","3626pb3289"
"11","156","3626pb3732"
"12","284","3626pb3418"
"13","5274","3626pb3129"
"14","858","3626pb3287"
"15","146","3626pb3737"
"16",NA,"3626pb3729"
"17","119","3626pb3724"
"18","3354","3626pb3154"
"19","175","3626pb3734"
"20","388","3626pb3298"
"21","2661","3626pb3166"
"22","197","3626pb3743"
"23","736","3626pb3420"
"24","252","3626pb3596"
"25","132","3626pb3726"
"26","3500","3626pb3163"
"27","925","3626pb3125"
"28","136","3626pb3733"
"29","103","3626pb3187"
"30","3721","3626pb3152"
"31","3644","3626pb3150"
"32","169","3626pb3746"
"33","136","3626pb3725"
"34","1959","3626pb3383"
"35","128","3626pb3731"
"36","176","3626pb3735"
"37","154","3626pb3741"
"38",NA,"3626pb3721"
"39",NA,"3626pb3736"
"40",NA,"3626pb3173"
"41","3622","3626pb3170"
"42","190","3626pb3723"
"43","4359","3626pb2907"
"44","3080","3626pb3156"
"45","144","3626pb3742"
"46","174","3626pb3727"
"47","1481","3626pb3015"
"48","143","3626pb3738"
"49","2297","3626pb3167"
"50","4","3626pb3719"
"51","2","3626pb3718"
